player_id,height,weight,season_exp,jersey,position,team_id,team_name,team_city,full_name,is_active
203926,6-6,225,9,17,Forward,1610612759,Spurs,San Antonio,Doug McDermott,1
1630253,6-6,195,2,30,Forward,1610612763,Grizzlies,Memphis,Sean McDermott,1
203585,6-4,205,7,17,Guard,1610612765,Pistons,Detroit,Rodney McGruder,1
1629162,6-0,185,4,6,Guard,1610612750,Timberwolves,Minnesota,Jordan McLaughlin,1
1629001,6-2,200,5,8,Guard,1610612755,76ers,Philadelphia,De'Anthony Melton,1
1630241,6-4,205,3,20,Guard,1610612739,Cavaliers,Cleveland,Sam Merrill,1
1629002,6-9,225,5,7,Forward-Center,1610612758,Kings,Sacramento,Chimezie Metu,1
203114,6-7,222,11,22,Forward,1610612749,Bucks,Milwaukee,Khris Middleton,1
1630627,0,0,0,0,,0,,,Isaiah Miller,1
1629003,6-5,205,5,18,Guard-Forward,1610612755,76ers,Philadelphia,Shake Milton,1
1631169,6-8,205,1,8,Forward,1610612750,Timberwolves,Minnesota,Josh Minott,1
1630558,6-0,202,2,15,Guard,1610612758,Kings,Sacramento,Davion Mitchell,1
1628378,6-1,215,6,45,Guard,1610612739,Cavaliers,Cleveland,Donovan Mitchell,1
1630596,6-11,215,2,4,Center,1610612739,Cavaliers,Cleveland,Evan Mobley,1
1630600,6-8,238,1,15,Forward,1610612739,Cavaliers,Cleveland,Isaiah Mobley,1
1631320,6-5,223,1,0,Forward,0,,,Chima Moneke,1
1628370,6-3,200,6,0,Guard,1610612758,Kings,Sacramento,Malik Monk,1
1630541,6-5,211,2,4,Guard,1610612744,Warriors,Golden State,Moses Moody,1
1629875,6-0,165,2,15,Guard,1610612746,Clippers,LA,Xavier Moon,1
1631111,6-5,215,1,7,Guard,1610612750,Timberwolves,Minnesota,Wendell Moore Jr.,1
1629630,6-2,174,4,12,Guard,1610612763,Grizzlies,Memphis,Ja Morant,1
202693,6-9,245,12,13,Forward,1610612742,Mavericks,Dallas,Markieff Morris,1
1628420,6-2,183,6,22,Guard,1610612764,Wizards,Washington,Monte Morris,1
1630530,6-8,206,2,25,Forward,1610612740,Pelicans,New Orleans,Trey Murphy III,1
1627749,6-5,180,6,5,Guard,1610612737,Hawks,Atlanta,Dejounte Murray,1
1627750,6-4,215,6,27,Guard,1610612743,Nuggets,Denver,Jamal Murray,1
1631099,6-8,225,1,13,Forward,1610612758,Kings,Sacramento,Keegan Murray,1
203488,6-11,240,10,57,Forward-Center,1610612764,Wizards,Washington,Mike Muscala,1
1629004,6-7,205,5,17,Guard-Forward,1610612766,Hornets,Charlotte,Svi Mykhailiuk,1
1626204,6-8,245,8,22,Forward-Center,1610612740,Pelicans,New Orleans,Larry Nance Jr.,1
1630612,6-4,200,2,5,Guard,1610612739,Cavaliers,Cleveland,RJ Nembhard Jr.,1
1630174,6-5,215,3,23,Guard-Forward,1610612754,Pacers,Indiana,Aaron Nesmith,1
203526,6-2,180,8,19,Guard,1610612739,Cavaliers,Cleveland,Raul Neto,1
1627777,6-7,230,7,20,Forward,1610612755,76ers,Philadelphia,Georges Niang,1
1630227,6-4,226,3,15,Guard,1610612745,Rockets,Houston,Daishen Nix,1
1630192,6-9,240,3,22,Forward-Center,1610612743,Nuggets,Denver,Zeke Nnaji,1
203457,6-10,220,9,0,Center-Forward,0,,,Nerlens Noel,1
1629669,6-4,201,4,4,Guard,1610612750,Timberwolves,Minnesota,Jaylen Nowell,1
1628373,6-4,200,6,21,Guard,1610612742,Mavericks,Dallas,Frank Ntilikina,1
1629134,6-3,190,3,20,Guard,1610612764,Wizards,Washington,Kendrick Nunn,1
203994,7-0,290,9,27,Center,1610612757,Trail Blazers,Portland,Jusuf Nurkic,1
1629670,6-9,225,3,13,Forward,1610612754,Pacers,Indiana,Jordan Nwora,1
1626220,6-6,226,6,00,Forward,1610612751,Nets,Brooklyn,Royce O'Neale,1
1629006,6-4,213,5,2,Guard,1610612756,Suns,Phoenix,Josh Okogie,1
1630168,6-9,240,3,17,Forward-Center,1610612737,Hawks,Atlanta,Onyeka Okongwu,1
1630171,6-5,225,3,35,Forward-Guard,1610612739,Cavaliers,Cleveland,Isaac Okoro,1
1629644,6-8,215,4,0,Forward-Guard,0,,,KZ Okpala,1
203506,6-3,213,10,4,Guard,1610612748,Heat,Miami,Victor Oladipo,1
203482,6-11,240,10,41,Forward-Center,1610612762,Jazz,Utah,Kelly Olynyk,1
1630647,6-6,235,3,97,Forward,1610612765,Pistons,Detroit,Eugene Omoruyi,1
1626224,6-7,230,6,16,Forward,1610612739,Cavaliers,Cleveland,Cedi Osman,1
1626162,6-6,203,8,12,Forward-Guard,1610612766,Hornets,Charlotte,Kelly Oubre Jr.,1
1629672,6-6,255,4,0,Forward,1610612762,Jazz,Utah,Eric Paschall,1
101108,6-0,175,18,3,Guard,1610612764,Wizards,Washington,Chris Paul,1
1626166,6-1,183,8,15,Guard,1610612756,Suns,Phoenix,Cameron Payne,1
1627780,6-2,195,7,8,Guard,1610612744,Warriors,Golden State,Gary Payton II,1
1630691,6-9,206,2,24,Forward,1610612765,Pistons,Detroit,Jamorko Pickett,1
1630321,0,0,0,0,,0,,,Nate Pierre-Louis,1
1629033,6-7,212,5,1,Guard-Forward,1610612742,Mavericks,Dallas,Theo Pinson,1
1631342,0,0,0,0,,0,,,Daeqwon Plowden,1
203486,7-0,254,10,44,Forward-Center,1610612746,Clippers,LA,Mason Plumlee,1
1627751,7-1,245,7,19,Center,1610612761,Raptors,Toronto,Jakob Poeltl,1
1630197,7-0,210,3,17,Forward,1610612760,Thunder,Oklahoma City,Aleksej Pokusevski,1
1629673,6-4,194,4,3,Guard,1610612744,Warriors,Golden State,Jordan Poole,1
1629645,6-4,203,4,3,Guard-Forward,1610612745,Rockets,Houston,Kevin Porter Jr.,1
203490,6-8,198,10,32,Forward,1610612761,Raptors,Toronto,Otto Porter Jr.,1
1626171,6-11,250,8,9,Forward,1610612749,Bucks,Milwaukee,Bobby Portis,1
204001,7-3,240,7,6,Forward-Center,1610612738,Celtics,Boston,Kristaps Porzingis,1
1626181,6-4,215,8,24,Guard,1610612746,Clippers,LA,Norman Powell,1
